ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
world class facilities with x,4,4.700,94.0
and systems semester exams are,4,4.700,94.0
internships at microsoft qualcomm adobe,4,4.700,94.0
quality is good the course,24,4.558,91.2
quality of facilities in our,4,4.600,92.0
there are good placements every,2,5.000,100.0
relevant and it makes students,59,4.522,90.4
good the quality of food,18,4.456,89.1
very clean we feel good,2,5.000,100.0
infrastructure available for our course,4,4.300,86.0
good because of the faculty,2,5.000,100.0
semester exams in this college,14,4.571,91.4
quality of food in the,46,4.478,89.6
are helpful qualified and knowledgeable,21,4.636,92.7
exams in this college are,8,4.650,93.0
hard work we can get,2,5.000,100.0
delicious faculty teachers are helpful,2,5.000,100.0
course are google microsoft amazon,2,5.000,100.0
labs classrooms and the library,10,4.660,93.2
can give time for extra,2,5.000,100.0
curriculum is relevant and it,62,4.600,92.0
extra skills and it is,2,5.000,100.0
spend time there and they,2,5.000,100.0
package is crores per annum,14,4.814,96.3
thing about my course is,25,4.580,91.6
a good percentage other i,2,5.000,100.0
is good the course curriculum,32,4.581,91.6
annum and the lowest package,20,4.638,92.8
lpa top recruiting companies for,19,4.674,93.5
value for money it is,264,4.555,91.1
flipkart and top mncs around,2,5.000,100.0
of food in the mess,32,4.531,90.6
it is useful for placements,2,5.000,100.0
in our college the highest,38,4.600,92.0
our course are google microsoft,4,5.000,100.0
i can give time for,2,5.000,100.0
b tech in metallurgical engineering,49,4.604,92.1
microsoft amazon apple flipkart and,2,5.000,100.0
i chose this course because,206,4.535,90.7
from our course infrastructure facilities,4,5.000,100.0
more s sai b tech,2,5.000,100.0
placements good placements are there,2,5.000,100.0
that i can give time,2,5.000,100.0
it is easy and interesting,2,5.000,100.0
students industry ready semester exams,85,4.502,90.0
highest package is crores per,14,4.629,92.6
this course because it is,25,4.728,94.6
do hard work we can,2,5.000,100.0
ready semester exams in this,10,4.280,85.6
our course department like wi,2,5.000,100.0
and infrastructure available for our,4,4.300,86.0
about my course is it,4,4.625,92.5
department like wi fi labs,2,5.000,100.0
my campus the teaching quality,2,5.000,100.0
the faculty there are good,2,5.000,100.0
chose this course because it,26,4.562,91.2
materials science batch of placements,57,4.579,91.6
classrooms and the library are,17,4.494,89.9
get internships from our course,4,5.000,100.0
for extra skills and it,2,5.000,100.0
are difficult but if we,2,5.000,100.0
mess is delicious faculty teachers,2,5.000,100.0
good placements are there in,2,5.000,100.0
best thing about my course,29,4.555,91.1
on jul read more s,30,4.473,89.5
placements the best thing about,4,4.800,96.0
year placements good placements are,2,5.000,100.0
of the faculty there are,2,5.000,100.0
qualified and knowledgeable on my,2,5.000,100.0
time there and they are,2,5.000,100.0
course infrastructure facilities and infrastructure,4,4.900,98.0
from teachers reviewed on jul,2,5.000,100.0
good to spend time there,2,5.000,100.0
is easy so that i,2,5.000,100.0
is useful for placements the,2,5.000,100.0
if we do hard work,2,5.000,100.0
in metallurgical engineering and materials,59,4.542,90.8
is lpa top recruiting companies,69,4.614,92.3
it is good because of,2,5.000,100.0
in the mess is delicious,4,4.750,95.0
get a good percentage other,2,5.000,100.0
good the quality of facilities,4,5.000,100.0
are there in our college,2,5.000,100.0
mncs around of students get,2,5.000,100.0
read more s sai b,2,5.000,100.0
feel good to spend time,2,5.000,100.0
helpful qualified and knowledgeable on,2,5.000,100.0
this college are difficult but,4,4.550,91.0
apple flipkart and top mncs,2,5.000,100.0
the highest package is crores,28,4.614,92.3
but if we do hard,2,5.000,100.0
difficult but if we do,2,5.000,100.0
it makes students industry ready,90,4.551,91.0
is good because of the,2,5.000,100.0
science batch of placements infrastructure,91,4.536,90.7
we do hard work we,2,5.000,100.0
other i chose this course,259,4.482,89.6
academic guidance from teachers reviewed,2,5.000,100.0
course department like wi fi,2,5.000,100.0
of facilities in our hostel,4,4.600,92.0
is delicious faculty teachers are,2,5.000,100.0
course because it is easy,4,4.600,92.0
course curriculum is relevant and,124,4.619,92.4
and it is useful for,2,5.000,100.0
lowest package is lpa top,8,4.375,87.5
is it is easy and,2,5.000,100.0
are very clean we feel,2,5.000,100.0
per annum and the lowest,57,4.613,92.3
my course is it is,4,4.625,92.5
recruiting companies for our course,31,4.574,91.5
our course infrastructure facilities and,4,4.900,98.0
campus the teaching quality is,2,5.000,100.0
and knowledgeable on my campus,2,5.000,100.0
we feel good to spend,2,5.000,100.0
are google microsoft amazon apple,2,5.000,100.0
it is easy so that,2,5.000,100.0
the quality of food in,66,4.538,90.8
industry ready semester exams in,19,4.179,83.6
infrastructure facilities and infrastructure available,35,4.297,85.9
the mess is delicious faculty,2,5.000,100.0
for money it is good,6,4.367,87.3
they are very good the,2,5.000,100.0
our college the highest package,10,4.440,88.8
and it makes students industry,57,4.540,90.8
teaching quality is good the,26,4.562,91.2
can get a good percentage,2,5.000,100.0
so that i can give,2,5.000,100.0
makes students industry ready semester,51,4.520,90.4
percentage other i chose this,5,4.720,94.4
clean we feel good to,2,5.000,100.0
companies for our course are,18,4.500,90.0
useful for placements the best,2,5.000,100.0
the teaching quality is good,42,4.612,92.2
for placements the best thing,2,5.000,100.0
top mncs around of students,2,5.000,100.0
are very good the quality,2,5.000,100.0
work we can get a,2,5.000,100.0
are good placements every year,2,5.000,100.0
google microsoft amazon apple flipkart,2,5.000,100.0
very good the quality of,2,5.000,100.0
is relevant and it makes,60,4.597,91.9
the best thing about my,29,4.555,91.1
the course curriculum is relevant,218,4.566,91.3
knowledgeable on my campus the,2,5.000,100.0
top recruiting companies for our,27,4.600,92.0
the library are very clean,2,5.000,100.0
placements are there in our,2,5.000,100.0
guidance from teachers reviewed on,2,5.000,100.0
in our hostel is good,2,5.000,100.0
sai b tech in metallurgical,2,5.000,100.0
facilities in our hostel is,4,5.000,100.0
college are difficult but if,2,5.000,100.0
library are very clean we,2,5.000,100.0
life value for money it,323,4.564,91.3
facilities and infrastructure available for,20,4.460,89.2
crores per annum and the,43,4.619,92.4
in this college are difficult,4,4.550,91.0
engineering and materials science batch,55,4.567,91.3
internships from our course infrastructure,12,4.717,94.3
tech in metallurgical engineering and,59,4.542,90.8
there and they are very,2,5.000,100.0
and materials science batch of,55,4.567,91.3
is crores per annum and,17,4.588,91.8
skills and it is useful,2,5.000,100.0
package is lpa top recruiting,16,4.637,92.7
good percentage other i chose,2,5.000,100.0
of students get internships from,10,4.700,94.0
because it is easy so,2,5.000,100.0
give time for extra skills,2,5.000,100.0
there in our college the,2,5.000,100.0
for our course are google,2,5.000,100.0
college the highest package is,14,4.614,92.3
faculty there are good placements,2,5.000,100.0
placements every year placements good,2,5.000,100.0
every year placements good placements,2,5.000,100.0
time for extra skills and,2,5.000,100.0
students get internships from our,6,4.900,98.0
like wi fi labs classrooms,17,4.647,92.9
fi labs classrooms and the,4,4.800,96.0
s sai b tech in,2,5.000,100.0
our hostel is good the,2,5.000,100.0
on my campus the teaching,2,5.000,100.0
around of students get internships,23,4.678,93.6
teachers reviewed on jul read,2,5.000,100.0
and the library are very,4,4.650,93.0
teachers are helpful qualified and,12,4.583,91.7
hostel is good the quality,4,4.800,96.0
and they are very good,2,5.000,100.0
money it is good because,2,5.000,100.0
faculty teachers are helpful qualified,6,4.533,90.7
the quality of facilities in,8,4.725,94.5
and top mncs around of,2,5.000,100.0
good placements every year placements,6,4.633,92.7
good the course curriculum is,64,4.603,92.1
course is it is easy,2,5.000,100.0
available for our course department,4,5.000,100.0
for our course department like,4,5.000,100.0
easy so that i can,2,5.000,100.0
reviewed on jul read more,216,4.550,91.0
food in the mess is,45,4.560,91.2
jul read more s sai,2,5.000,100.0
to spend time there and,2,5.000,100.0
wi fi labs classrooms and,12,4.683,93.7
